make;model;version;year_manufacture;year_model;km;price;location
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;17.216km;R$ 94.990;Contagem / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;17.319km;R$ 91.590;Taboão da Serra / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;17.336km;R$ 72.990;Guarapuava / PR
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;17.528km;R$ 111.990;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;17.585km;R$ 91.590;Natal / RN
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;17.672km;R$ 91.590;Santo André / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;17.690km;R$ 91.590;Jundiaí / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;17.700km;R$ 91.590;Anápolis / GO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;17.710km;R$ 91.590;Rio de Janeiro / RJ
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2021;2021;17.819km;R$ 89.990;Belo Horizonte / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2021;2021;17.819km;R$ 89.990;Belo Horizonte / MG
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;17.826km;R$ 65.690;Contagem / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;17.969km;R$ 72.990;Guarapuava / PR
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;18.000km;R$ 68.990;Rio de Janeiro / RJ
Renault;Sandero;1.6 16V SCE FLEX STEPWAY ZEN MANUAL;2020;2021;18.000km;R$ 68.990;São José do Rio Preto / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;18.000km;R$ 73.990;Palmas / TO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;18.048km;R$ 85.540;São Paulo / SP
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2020;2020;18.175km;R$ 146.990;Betim / MG
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2020;2020;18.175km;R$ 146.990;Belo Horizonte / MG
Renault;Master;2.3 DCI DIESEL MINIBUS EXECUTIVE 16L L3H2 3P MANUAL;2019;2020;18.234km;R$ 195.990;Feira de Santana / BA
Renault;Master;2.3 DCI DIESEL MINIBUS EXECUTIVE 16L L3H2 3P MANUAL;2019;2020;18.234km;R$ 195.990;João pessoa / PB
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;18.274km;R$ 142.390;Duque de Caxias / RJ
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;18.379km;R$ 94.990;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;18.523km;R$ 56.890;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;18.523km;R$ 56.890;São Paulo / SP
