make;model;version;year_manufacture;year_model;km;price;location
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2020;2021;19.890km;94990;Mogi das Cruzes / SP
Ford;Ka;1.0 TI-VCT FLEX SE PLUS SEDAN MANUAL;2020;2020;19.906km;59490;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.907km;91590;Guarapuava / PR
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;19.931km;56490;Brasília / DF
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2022;19.991km;59990;São Paulo / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2020;20.000km;85990;Osasco / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.000km;86540;Jundiaí / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.000km;86540;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;20.000km;107990;Rio de Janeiro / RJ
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2020;20.000km;85990;São Paulo / SP
Fiat;Doblo;1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL;2021;2021;20.000km;93990;Vitória / ES
Ford;Ka;1.0 TI-VCT FLEX SE SEDAN MANUAL;2020;2020;20.000km;59490;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.000km;86540;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.010km;91590;Balneário Camboriú / SC
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;20.017km;123990;Fortaleza / CE
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;20.035km;72990;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.038km;91590;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;20.056km;94990;Manaus / AM
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;20.065km;94990;Betim / MG
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;20.065km;94990;Uberlândia / MG
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;20.131km;111990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.229km;86540;Fortaleza / CE
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2021;2022;20.278km;98990;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;20.295km;72990;Canoas / RS
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;20.309km;72990;Guarapuava / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.313km;91590;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.350km;88990;Fortaleza / CE
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.350km;91590;Mauá / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.368km;91590;Vitória da Conquista / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;20.434km;86540;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.452km;91590;São Bernardo do Campo / SP
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2020;2021;20.477km;60990;Curitiba / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;20.479km;94990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.541km;86540;Rio de Janeiro / RJ
Fiat;Argo;1.0 FIREFLY FLEX MANUAL;2021;2021;20.595km;64990;Curitiba / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;20.600km;94990;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;20.625km;73990;Contagem / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.647km;91590;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.792km;91590;Uberlândia / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.854km;86540;Goiânia / GO
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;20.879km;56490;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.892km;91590;Taboão da Serra / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.995km;91590;Curitiba / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2020;21.000km;123990;Belém / PA
Honda;Hr-V;1.8 16V FLEX LX 4P AUTOMÁTICO;2019;2019;21.000km;112990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.000km;91590;Santos / SP
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;21.011km;129990;Lauro de Freitas / BA
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;21.070km;72990;Canoas / RS
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;21.188km;58590;Goiânia / GO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.210km;91590;Joinville / SC
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;21.225km;86540;Maringá / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.400km;91590;Belém / PA
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;21.419km;72990;Guarapuava / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;21.461km;94990;Mauá / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.495km;91590;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;21.575km;72990;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;21.583km;86540;Duque de Caxias / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;21.689km;111990;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.721km;91590;Recife / PE
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.868km;91590;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.868km;91590;Contagem / MG
Renault;Kwid;1.0 12V SCE FLEX INTENSE MANUAL;2021;2022;21.911km;61990;Mogi das Cruzes / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2020;21.915km;123990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;21.968km;91590;Mogi das Cruzes / SP
Ford;Ka;1.0 TI-VCT FLEX SE PLUS SEDAN MANUAL;2020;2020;21.979km;59490;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.000km;94990;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;22.000km;86540;Fortaleza / CE
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.000km;91590;Fortaleza / CE
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.000km;94990;Rio de Janeiro / RJ
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.000km;94990;Rio de Janeiro / RJ
Chevrolet;Prisma;1.0 MPFI JOY 8V FLEX 4P MANUAL;2018;2019;22.000km;57490;São José do Rio Preto / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;22.067km;53990;Manaus / AM
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;22.080km;56490;Maringá / PR
Renault;Logan;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;22.141km;73990;Ribeirão Preto / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.155km;88990;Fortaleza / CE
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;22.169km;107990;Betim / MG
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;22.217km;101590;Fortaleza / CE
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;22.324km;95090;Ribeirão Preto / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.350km;94990;Canoas / RS
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.357km;94990;Mogi das Cruzes / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.391km;94990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.448km;94990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.448km;94990;Mogi das Cruzes / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.448km;94990;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.469km;88990;Mogi das Cruzes / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.469km;88990;Taboão da Serra / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;22.469km;107990;Manaus / AM
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;22.536km;86540;Rio de Janeiro / RJ
Chevrolet;Cobalt;1.4 MPFI LT 8V FLEX 4P MANUAL;2019;2020;22.541km;69990;João pessoa / PB
Renault;Duster;1.6 16V SCE FLEX ZEN X-TRONIC;2021;2021;22.542km;97990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.568km;91590;Goiânia / GO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.617km;91590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.617km;91590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.624km;91590;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.635km;94990;Mogi das Cruzes / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;22.729km;68990;Feira de Santana / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;22.748km;101590;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.752km;91590;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.000km;91590;Fortaleza / CE
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2019;2020;23.000km;130990;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.000km;91590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.130km;91590;Balneário Camboriú / SC
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.150km;91590;Fortaleza / CE
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;23.156km;95090;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;23.173km;55590;Canoas / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.232km;91590;Várzea Grande / MT
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;23.232km;91590;Várzea Grande / MT
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.238km;91590;Cascavel / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.260km;91590;Feira de Santana / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.260km;91590;Vitória da Conquista / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.441km;86540;Mesquita / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.441km;86540;Niterói / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.445km;91590;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.450km;91590;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.458km;91590;Contagem / MG
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE TIPTRONIC;2020;2020;23.463km;136990;Manaus / AM
Renault;Captur;1.6 16V SCE FLEX BOSE X-TRONIC;2020;2021;23.479km;104990;São Paulo / SP
Toyota;Corolla;2.0 VVT-IE FLEX XEI DIRECT SHIFT;2021;2022;23.541km;143990;João pessoa / PB
